the_geom,start_station_longitude,tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,cartodb_id,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender
,-73.9907647,267,2/1/2015 0:52,2/1/2015 0:57,293,Lafayette St & E 8 St,40.73028666,80,445,E 10 St & Avenue A,40.72740794,-73.98142006,20570,Subscriber,1991,1
,-73.98085795,665,2/1/2015 0:53,2/1/2015 1:04,150,E 2 St & Avenue C,40.7208736,81,497,E 17 St & Broadway,40.73704984,-73.99009296,18344,Subscriber,1984,1
,-74.01043382,89,2/1/2015 0:53,2/1/2015 0:55,195,Liberty St & Broadway,40.70905623,82,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,14677,Subscriber,1972,2
,-73.98997825,388,2/1/2015 0:54,2/1/2015 1:00,401,Allen St & Rivington St,40.72019576,83,483,E 12 St & 3 Ave,40.73223272,-73.98889957,16260,Subscriber,1988,1
,-73.976682,308,2/1/2015 0:54,2/1/2015 1:00,274,Lafayette Ave & Fort Greene Pl,40.68691865,84,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,18485,Subscriber,1980,2
,-73.98997825,2812,2/1/2015 0:55,2/1/2015 1:42,401,Allen St & Rivington St,40.72019576,85,237,E 11 St & 2 Ave,40.73047309,-73.98672378,17661,Subscriber,1973,2
,-73.97805813,1209,2/1/2015 0:56,2/1/2015 1:16,271,Ashland Pl & Hanson Pl,40.68528172,86,271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,16118,Subscriber,1983,1
,-73.99720307,671,2/1/2015 0:58,2/1/2015 1:09,151,Cleveland Pl & Spring St,40.7218158,87,433,E 13 St & Avenue A,40.72955361,-73.98057249,14706,Subscriber,1989,1
,-74.00167,171,2/1/2015 0:58,2/1/2015 1:00,279,Peck Slip & Front St,40.707873,88,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,16091,Subscriber,1976,1
,-73.99069656,384,2/1/2015 1:04,2/1/2015 1:10,403,E 2 St & 2 Ave,40.72502876,90,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,20684,Subscriber,1979,1
,-73.98564945,370,2/1/2015 1:10,2/1/2015 1:16,438,St Marks Pl & 1 Ave,40.72779126,91,545,E 23 St & 1 Ave,40.736502,-73.97809472,15792,Subscriber,1985,1
,-74.00297088,731,2/1/2015 1:11,2/1/2015 1:23,128,MacDougal St & Prince St,40.72710258,92,502,Henry St & Grand St,40.714215,-73.981346,19506,Subscriber,1970,1
,-73.993934,447,2/1/2015 1:11,2/1/2015 1:19,490,8 Ave & W 33 St,40.751551,93,479,9 Ave & W 45 St,40.76019252,-73.9912551,15185,Subscriber,1983,2
,-73.98165557,275,2/1/2015 1:11,2/1/2015 1:16,504,1 Ave & E 15 St,40.73221853,94,507,E 25 St & 2 Ave,40.73912601,-73.97973776,15327,Subscriber,1985,1
,-73.9907647,998,2/1/2015 1:12,2/1/2015 1:29,293,Lafayette St & E 8 St,40.73028666,95,363,West Thames St,40.70834698,-74.01713445,15552,Subscriber,1986,2
,-73.99915362,551,2/1/2015 1:13,2/1/2015 1:22,453,W 22 St & 8 Ave,40.74475148,96,546,E 30 St & Park Ave S,40.74444921,-73.98303529,17994,Subscriber,1961,1
,-73.99565293,398,2/1/2015 1:13,2/1/2015 1:19,250,Lafayette St & Jersey St,40.72456089,97,401,Allen St & Rivington St,40.72019576,-73.98997825,16235,Subscriber,1961,1
,-73.98915076,340,2/1/2015 1:13,2/1/2015 1:19,444,Broadway & W 24 St,40.7423543,98,507,E 25 St & 2 Ave,40.73912601,-73.97973776,20740,Subscriber,1987,1
,-73.98165557,234,2/1/2015 1:13,2/1/2015 1:17,504,1 Ave & E 15 St,40.73221853,99,2012,E 27 St & 1 Ave,40.739445,-73.976806,15173,Subscriber,1984,1
,-73.98142006,459,2/1/2015 1:15,2/1/2015 1:23,445,E 10 St & Avenue A,40.72740794,100,297,E 15 St & 3 Ave,40.734232,-73.986923,20333,Subscriber,1985,1
,-73.99704374,164,2/1/2015 1:15,2/1/2015 1:17,345,W 13 St & 6 Ave,40.73649403,101,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,19040,Subscriber,1990,1
,-74.00965965,262,2/1/2015 1:17,2/1/2015 1:22,328,Watts St & Greenwich St,40.72405549,102,276,Duane St & Greenwich St,40.71748752,-74.0104554,16254,Subscriber,1990,1
,-74.000271,680,2/1/2015 1:20,2/1/2015 1:32,383,Greenwich Ave & Charles St,40.735238,103,403,E 2 St & 2 Ave,40.72502876,-73.99069656,19445,Subscriber,1992,1
,-74.00681753,1757,2/1/2015 1:22,2/1/2015 1:51,212,W 16 St & The High Line,40.74334935,104,518,E 39 St & 2 Ave,40.74780373,-73.9734419,18487,Subscriber,1959,1
,-73.95920622,1217,2/1/2015 1:22,2/1/2015 1:43,2022,E 59 St & Sutton Pl,40.75849116,105,477,W 41 St & 8 Ave,40.75640548,-73.9900262,15676,Subscriber,1979,2
,-73.99720307,270,2/1/2015 1:22,2/1/2015 1:27,151,Cleveland Pl & Spring St,40.7218158,106,2010,Grand St & Greene St,40.72165481,-74.00234737,19269,Subscriber,1980,1
,-73.98751968,1090,2/1/2015 1:23,2/1/2015 1:42,503,E 20 St & Park Ave,40.73827428,107,229,Great Jones St,40.72743423,-73.99379025,19718,Subscriber,1961,1
,-73.98672378,177,2/1/2015 1:23,2/1/2015 1:26,237,E 11 St & 2 Ave,40.73047309,108,293,Lafayette St & E 8 St,40.73028666,-73.9907647,20638,Subscriber,1992,1
,-74.008119,1032,2/1/2015 1:24,2/1/2015 1:42,405,Washington St & Gansevoort St,40.739323,109,266,Avenue D & E 8 St,40.72368361,-73.97574813,20286,Subscriber,1987,2
,-73.98602213,323,2/1/2015 1:28,2/1/2015 1:33,491,E 24 St & Park Ave S,40.74096374,110,496,E 16 St & 5 Ave,40.73726186,-73.99238967,17783,Subscriber,1971,1
,-74.0104554,570,2/1/2015 1:29,2/1/2015 1:38,276,Duane St & Greenwich St,40.71748752,111,368,Carmine St & 6 Ave,40.73038599,-74.00214988,18620,Subscriber,1965,1
,-73.98473765,155,2/1/2015 1:29,2/1/2015 1:31,325,E 19 St & 3 Ave,40.73624527,112,483,E 12 St & 3 Ave,40.73223272,-73.98889957,21046,Subscriber,1989,1
,-74.00263761,419,2/1/2015 1:30,2/1/2015 1:37,284,Greenwich Ave & 8 Ave,40.73901691,113,489,10 Ave & W 28 St,40.75066386,-74.00176802,17817,Subscriber,1982,1
,-73.98855723,114,2/1/2015 1:30,2/1/2015 1:32,486,Broadway & W 29 St,40.7462009,114,498,Broadway & W 32 St,40.74854862,-73.98808416,20117,Subscriber,1969,1
,-73.981013,628,2/1/2015 1:31,2/1/2015 1:42,324,DeKalb Ave & Hudson Ave,40.689888,115,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,18929,Subscriber,1970,2
